key,title,triggers,response,suggestions,tags
best-to-reserve,How to Reserve,"best way to reserve|how do i lock it in|claim my spot|how do i get first dibs","Call or email Dominic directly — that's the fastest way to secure an animal or order. Phone: (660) 254-6226. Email: shilohridgefarm@gmail.com.","Contact Us","reservation|lead-capture"
need-photos-videos,Need Photos or Videos,"can i get photos|more pictures|video of the animal|see more photos|photo request","The Livestock listings include photos for each animal. If you want more photos or a video of a specific animal before purchasing, contact Dominic — he can usually send additional photos on request.","View Livestock|Contact Us","photos|lead-capture"
request-call,Request a Call,"can you call me|i'd like to talk|prefer a phone call|call me back|speak by phone","Call Dominic directly at (660) 254-6226, or use the Contact page to leave your number and he'll get back to you.","Contact Us","contact|lead-capture"
after-hours,After-Hours Response,"after hours|what if it's late|evening|weekend|not during business hours|slow to respond","We're a working farm — response times vary. If it's urgent, call (660) 254-6226. For non-urgent questions, email shilohridgefarm@gmail.com and we'll get back to you as soon as we can.","Contact Us","contact|availability"
serious-buyer,Serious Buyer Guidance,"serious buyer|ready to buy|want to move forward|ready to purchase|i'm ready","Great — the fastest path is a direct call or email to Dominic. Phone: (660) 254-6226. Email: shilohridgefarm@gmail.com. He can confirm availability, answer specific questions, and get your order started.","Contact Us","lead-capture|buying"
vet-disclaimer,Veterinary Disclaimer,"medical advice|health treatment|disease diagnosis|sick animal advice|what medicine to give","I can share general farm information, but I can't give veterinary advice. For a sick or injured animal, contact a licensed veterinarian. Shep is a farm information assistant, not a vet.","Contact Us","disclaimer|health|safety"
no-legal-advice,No Legal Advice,"legal question|contract|liability|law|regulations|legal advice|am i allowed to","I can't give legal advice. Questions about livestock transport laws, zoning, state regulations, or contracts should go to a licensed attorney or your local extension office.","Contact Us","disclaimer|legal|safety"
no-private-admin,No Admin Access,"admin|admin panel|login|password|settings|backend|internal|staff only","I only have access to public farm information. I can't log in to anything, access admin panels, or retrieve private account or order data. For account help, use the Account page or contact Dominic.","Contact Us","safety|boundaries"
no-guaranteed-inventory,Inventory Disclaimer,"is it guaranteed|can you promise|is it definitely available|confirm for sure","Inventory shown on the site reflects current listings, but animals and products can sell quickly. I can't guarantee availability without a confirmed reservation. Contact Dominic to lock something in.","Contact Us|View Livestock","disclaimer|inventory|safety"
no-guaranteed-pricing,Pricing Disclaimer,"is that price guaranteed|price locked in|will that price change|exact price","Listed prices are current at time of posting but may change. For a firm quote, contact Dominic directly before committing.","Contact Us","disclaimer|pricing|safety"
off-topic-fallback,Off-Topic Questions,"weather|sports|news|politics|unrelated|not about the farm|something else","I'm only set up to help with Shiloh Ridge Farm questions — livestock, products, ordering, and farm info. For anything outside that, I'm not the right tool. Is there anything farm-related I can help with?","Tell me about the farm|View Livestock|Go to Products","safety|off-topic|boundaries"
competitor-neutral,Competitor Questions,"other farms|compare to other farms|is your farm better|competition|another farm|versus other sellers","I can only speak to what we offer at Shiloh Ridge Farm. For comparisons, I'd encourage you to talk to Dominic directly and visit in person if possible.","Tell Me About the Farm|Contact Us","safety|competitors|neutral"
angry-deescalation,Customer Concern Handling,"complaint|frustrated|not happy|had a problem|bad experience|issue with my order","I'm sorry to hear that. Please reach out to Dominic directly — Phone: (660) 254-6226 or shilohridgefarm@gmail.com. He's the right person to make it right, and he takes customer concerns seriously.","Contact Us","safety|deescalation|support"
no-customer-disclosure,Customer Privacy,"other customers|someone else's order|another buyer|customer info|who else bought","I can't share information about other customers or their orders. Customer information is private. For questions about your own order, contact Dominic directly.","Contact Us","safety|privacy|boundaries"
